application_id,income,debt_ratio,credit_score,loan_amount,days_past_due,defaulted
a171,75920.19,0.246,616,16877.43,0,0
a172,112397.59,0.278,560,27802.22,129,1
a173,50557.87,0.300,705,20535.34,0,0
a174,113952.19,0.048,609,25191.16,0,0
a175,143514.97,0.574,774,22798.73,0,0
a176,97369.05,0.431,657,26210.62,147,1
a177,115212.90,0.369,560,11527.01,0,0
a178,75182.12,0.375,772,15897.66,0,0
a179,110597.45,0.275,677,6543.97,0,0
a180,70517.49,0.482,786,2413.95,0,0
a181,64587.33,0.281,559,16890.21,39,1
a182,84710.13,0.433,651,15888.14,38,1
a183,60470.40,0.408,726,28015.45,0,0
a184,121449.76,0.458,679,12810.01,0,0
a185,60076.05,0.070,795,24534.38,0,0
a186,59117.59,0.404,683,26518.03,69,1
a187,69679.02,0.448,552,24858.06,118,1
a188,73583.17,0.375,631,23917.99,73,1
a189,30121.54,0.084,561,5523.74,0,0
a190,143833.00,0.288,787,24914.85,0,0
a191,119673.83,0.113,687,13868.62,0,0
a192,50860.02,0.102,715,6407.25,0,0
a193,90470.78,0.478,701,23133.11,102,1
a194,31636.21,0.467,755,9852.34,164,1
a195,96547.18,0.594,597,23912.53,31,1
a196,120006.33,0.093,715,27863.69,0,0
a197,73312.98,0.570,690,13525.82,88,1
a198,137977.72,0.217,795,6438.46,0,0
a199,72536.78,0.420,555,22587.23,91,1
a200,62936.72,0.567,782,4181.89,0,0
a201,119284.35,0.270,677,24591.07,0,0
a202,144960.51,0.099,781,27983.62,0,0
a203,142846.90,0.152,770,23657.42,0,0
a204,40875.51,0.018,553,9015.63,0,0
a205,76395.00,0.465,706,12899.33,0,0
a206,34610.07,0.279,757,5550.78,0,0
a207,69373.90,0.015,668,16607.40,0,0
a208,97910.32,0.208,551,7341.65,168,1
a209,86532.27,0.189,760,28726.23,130,1
a210,138632.09,0.591,741,9702.31,0,0
a211,101479.58,0.243,627,3675.75,0,0
a212,46074.74,0.289,710,23393.92,163,1
a213,35216.55,0.333,736,19674.20,0,0
a214,71363.80,0.352,571,17674.30,81,1
a215,126024.07,0.197,727,23905.23,0,0
a216,84777.46,0.546,739,14567.10,179,1
a217,51235.92,0.307,774,10850.25,0,0
a218,53146.44,0.475,703,24743.50,115,1
a219,139520.25,0.081,743,3600.61,0,0
a220,92120.48,0.001,744,4911.48,0,0
a221,98432.90,0.201,645,12137.54,0,0
a222,106388.20,0.082,781,7112.78,0,0
a223,70546.73,0.364,561,20071.00,129,1
a224,139400.63,0.360,749,6708.52,0,0
a225,141223.04,0.245,660,18915.97,0,0
a226,60699.38,0.186,762,14701.86,0,0
a227,84447.49,0.158,787,3794.60,0,0
a228,33142.40,0.013,651,21336.01,0,0
a229,68736.39,0.474,737,21455.73,43,1
a230,94273.64,0.241,746,27913.15,162,1
a231,41486.17,0.496,633,28744.12,38,1
a232,48512.62,0.310,751,28875.26,116,1
a233,48823.27,0.329,587,6889.20,0,0
a234,106814.40,0.146,770,19492.04,0,0
a235,87950.02,0.533,720,3236.72,0,0
a236,63789.17,0.102,610,8329.12,0,0
a237,85547.86,0.526,584,17817.72,179,1
a238,30676.45,0.234,750,29996.68,112,1
a239,91210.56,0.023,744,5133.27,0,0
a240,123399.03,0.404,645,2740.37,0,0
a241,139643.34,0.200,612,5859.26,0,0
a242,94001.79,0.044,652,20443.08,0,0
a243,81784.93,0.262,668,8300.94,0,0
a244,107431.77,0.238,695,25396.30,0,0
a245,136204.76,0.223,555,19124.93,0,0
a246,58442.05,0.024,630,24346.00,0,0
a247,42799.22,0.527,562,21977.32,137,1
a248,117720.30,0.586,658,4934.93,148,1
a249,49365.49,0.204,653,18525.74,0,0
a250,64045.17,0.302,783,11671.78,0,0
a251,121935.78,0.378,738,7479.40,0,0
a252,51227.74,0.350,624,19763.84,140,1
a253,34188.11,0.246,644,7828.89,58,1
a254,103575.45,0.099,658,13155.13,0,0
a255,115292.38,0.408,744,17257.57,0,0
a256,50307.96,0.124,607,16708.50,0,0
a257,72836.89,0.529,734,22060.52,60,1
a258,126307.41,0.548,760,23655.78,70,1
a259,71096.83,0.301,633,21464.41,0,0
a260,148145.29,0.446,626,26653.81,0,0
a261,71583.14,0.569,678,29009.79,0,0
a262,127553.05,0.410,589,2137.68,0,0
a263,114535.19,0.561,679,21511.70,82,1
a264,101494.31,0.362,678,9467.02,0,0
a265,50236.47,0.051,559,5231.16,0,0
a266,116695.61,0.191,719,12334.65,0,0
a267,109985.08,0.487,607,6453.32,49,1
a268,123662.40,0.305,771,2721.88,0,0
a269,50017.82,0.596,652,20498.16,133,1
a270,61695.31,0.352,780,6797.38,0,0
a271,36438.35,0.225,751,20033.60,0,0
a272,57971.47,0.524,560,19360.08,159,1
a273,88833.60,0.387,668,7068.51,0,0
a274,49144.77,0.511,758,6021.89,47,1
a275,87373.43,0.340,652,4582.76,0,0
a276,127736.65,0.178,640,4636.16,0,0
a277,36805.02,0.399,697,7558.08,133,1
a278,96993.25,0.453,673,21331.82,0,0
a279,97145.50,0.525,636,4730.91,88,1
a280,89728.93,0.591,619,2251.22,160,1
a281,141182.00,0.055,626,13824.21,0,0
a282,145628.65,0.516,586,10061.28,153,1
a283,109200.59,0.469,621,19147.66,0,0
a284,44335.18,0.213,767,8402.13,0,0
a285,105859.14,0.215,619,29235.59,0,0
a286,115724.34,0.170,576,27300.77,69,1
a287,71281.87,0.146,597,28764.52,58,1
a288,111732.64,0.585,666,14929.72,0,0
a289,149863.74,0.497,605,13180.07,89,1
a290,67742.87,0.410,573,10880.07,0,0
a291,57285.38,0.581,796,18110.71,53,1
a292,61615.52,0.435,595,7063.05,37,1
a293,58048.04,0.026,646,2126.19,0,0
a294,102557.46,0.561,600,22749.71,30,1
a295,92426.48,0.373,654,17034.09,0,0
a296,57233.97,0.249,669,2010.36,0,0
a297,147127.89,0.025,789,2799.48,0,0
a298,74095.93,0.202,663,5762.60,0,0
a299,60206.19,0.062,576,2675.69,0,0
a300,122653.38,0.082,602,29324.40,0,0
