customer_id,tenure_months,contract_type,discount,monthly_charges,churn
c291,66,month_to_month,0.231,63.82,false
c292,33,month_to_month,0.047,58.82,false
c293,72,month_to_month,0.131,100.23,false
c294,51,month_to_month,0.177,65.55,false
c295,13,month_to_month,0.178,75.08,false
c296,33,month_to_month,0.189,35.95,false
c297,18,month_to_month,0.337,67.81,false
c298,52,month_to_month,0.093,42.96,false
c299,18,month_to_month,0.033,85.84,true
c300,17,month_to_month,0.069,23.31,false
c301,62,one_year,0.037,67.30,false
c302,43,two_year,0.240,44.17,false
c303,39,month_to_month,0.003,55.49,false
c304,43,month_to_month,0.107,62.23,false
c305,48,two_year,0.051,48.79,false
c306,61,one_year,0.274,48.29,false
c307,15,month_to_month,0.175,67.10,false
c308,47,one_year,0.126,47.74,false
c309,36,two_year,0.168,49.14,false
c310,44,two_year,0.260,112.97,false
c311,29,month_to_month,0.134,58.87,false
c312,72,two_year,0.077,59.93,false
c313,29,month_to_month,0.239,29.19,true
c314,29,two_year,0.151,24.86,false
c315,52,month_to_month,0.070,52.68,false
c316,46,month_to_month,0.334,20.81,false
c317,16,month_to_month,0.212,113.49,true
c318,59,month_to_month,0.001,109.65,false
c319,8,month_to_month,0.324,42.69,true
c320,60,two_year,0.153,58.12,false
c321,34,month_to_month,0.121,56.75,false
c322,58,one_year,0.209,29.21,false
c323,13,month_to_month,0.242,82.08,false
c324,48,month_to_month,0.342,51.95,false
c325,64,month_to_month,0.037,111.11,false
c326,57,month_to_month,0.159,53.98,false
c327,48,month_to_month,0.177,102.01,false
c328,58,month_to_month,0.168,113.51,true
c329,0,month_to_month,0.336,97.53,true
c330,30,month_to_month,0.166,42.83,false
c331,62,month_to_month,0.325,116.89,false
c332,11,month_to_month,0.326,83.09,true
c333,7,month_to_month,0.013,107.00,false
c334,59,month_to_month,0.066,69.61,false
c335,6,one_year,0.281,116.11,false
c336,66,month_to_month,0.115,71.92,false
c337,55,month_to_month,0.241,69.34,false
c338,27,month_to_month,0.012,68.78,false
c339,40,month_to_month,0.069,24.35,false
c340,56,two_year,0.213,86.08,true
c341,66,month_to_month,0.226,118.84,false
c342,43,month_to_month,0.067,57.26,false
c343,56,month_to_month,0.347,51.75,false
c344,8,month_to_month,0.264,95.16,false
c345,50,two_year,0.248,41.00,false
c346,5,month_to_month,0.073,105.39,false
c347,52,month_to_month,0.222,116.07,false
c348,67,one_year,0.171,58.01,false
c349,10,one_year,0.256,95.23,true
c350,46,month_to_month,0.261,96.74,true
c351,3,month_to_month,0.335,56.75,false
c352,14,month_to_month,0.097,103.84,false
c353,49,one_year,0.325,42.83,false
c354,11,month_to_month,0.110,78.42,false
c355,67,month_to_month,0.112,92.92,true
c356,55,one_year,0.327,33.36,true
c357,3,month_to_month,0.150,23.18,false
c358,49,month_to_month,0.102,81.62,false
c359,69,month_to_month,0.119,75.22,false
c360,63,two_year,0.223,45.79,true
c361,12,one_year,0.146,99.07,false
c362,13,month_to_month,0.301,78.62,false
c363,66,two_year,0.078,29.68,false
c364,27,two_year,0.243,116.19,false
c365,56,month_to_month,0.094,117.28,false
c366,70,two_year,0.076,102.82,false
c367,35,month_to_month,0.272,20.05,false
c368,41,month_to_month,0.247,115.01,true
c369,1,month_to_month,0.040,91.19,false
c370,65,month_to_month,0.303,28.89,false
c371,52,month_to_month,0.208,66.30,false
c372,37,month_to_month,0.153,89.87,true
c373,1,one_year,0.094,107.09,false
c374,40,two_year,0.229,48.74,false
c375,31,two_year,0.242,34.00,false
c376,49,month_to_month,0.204,45.35,false
c377,68,month_to_month,0.157,32.29,false
c378,66,month_to_month,0.247,67.73,true
c379,10,month_to_month,0.289,110.41,false
c380,1,two_year,0.127,61.39,false
c381,63,month_to_month,0.141,67.07,false
c382,7,month_to_month,0.310,72.42,true
c383,19,month_to_month,0.105,34.53,false
c384,32,month_to_month,0.063,106.42,false
c385,20,month_to_month,0.196,108.11,false
c386,21,one_year,0.183,97.39,false
c387,2,one_year,0.276,104.74,true
c388,21,month_to_month,0.136,58.48,false
c389,13,month_to_month,0.030,21.17,false
c390,10,month_to_month,0.261,44.30,true
c391,35,two_year,0.341,86.18,false
c392,9,two_year,0.055,44.27,false
c393,5,one_year,0.019,100.91,false
c394,31,month_to_month,0.272,96.14,true
c395,65,month_to_month,0.209,55.12,false
c396,38,month_to_month,0.241,33.36,false
c397,25,one_year,0.119,50.14,false
c398,37,two_year,0.245,53.19,false
c399,48,month_to_month,0.140,109.53,false
c400,72,two_year,0.066,41.64,false
c401,65,month_to_month,0.209,95.66,false
c402,64,two_year,0.227,111.71,false
c403,38,month_to_month,0.228,25.22,false
c404,32,month_to_month,0.024,40.13,false
c405,32,two_year,0.330,102.55,false
c406,23,one_year,0.318,86.13,false
c407,34,month_to_month,0.347,21.65,false
c408,21,two_year,0.109,102.21,false
c409,63,one_year,0.300,28.78,false
c410,14,one_year,0.269,21.43,false
c411,45,one_year,0.305,58.40,false
c412,22,month_to_month,0.053,79.14,false
c413,29,two_year,0.019,109.74,false
c414,17,month_to_month,0.147,53.17,false
c415,24,one_year,0.119,33.82,false
c416,35,month_to_month,0.168,111.28,false
c417,9,month_to_month,0.264,109.80,false
c418,71,one_year,0.213,62.13,true
c419,53,one_year,0.240,101.29,false
c420,14,month_to_month,0.039,38.60,false
c421,37,one_year,0.035,96.43,false
c422,14,one_year,0.178,73.60,false
c423,5,one_year,0.341,115.34,false
c424,52,month_to_month,0.342,108.59,false
c425,17,month_to_month,0.137,77.92,false
c426,6,month_to_month,0.320,110.25,true
c427,51,month_to_month,0.256,49.72,false
c428,69,month_to_month,0.293,107.84,true
c429,16,one_year,0.206,36.84,true
c430,60,month_to_month,0.088,60.31,true
c431,6,month_to_month,0.272,107.62,false
c432,19,one_year,0.291,70.73,false
c433,14,two_year,0.002,102.05,false
c434,42,month_to_month,0.022,57.30,false
c435,42,one_year,0.165,72.64,false
c436,56,month_to_month,0.141,68.00,false
c437,9,two_year,0.050,59.96,false
c438,40,month_to_month,0.025,35.59,false
c439,72,month_to_month,0.024,46.76,false
c440,61,month_to_month,0.285,94.39,false
c441,59,month_to_month,0.081,70.22,false
c442,46,month_to_month,0.179,44.98,false
c443,14,month_to_month,0.268,44.39,true
c444,64,month_to_month,0.014,55.87,false
c445,23,month_to_month,0.170,95.60,false
c446,53,month_to_month,0.227,43.62,false
c447,44,one_year,0.297,98.45,true
c448,5,one_year,0.168,85.85,false
c449,49,one_year,0.240,78.03,false
c450,3,one_year,0.350,79.98,false
c451,22,one_year,0.110,52.78,false
c452,18,month_to_month,0.137,56.86,false
c453,27,month_to_month,0.085,78.72,false
c454,47,two_year,0.083,53.77,false
c455,41,month_to_month,0.295,45.67,true
c456,14,two_year,0.156,40.48,false
c457,45,one_year,0.248,28.88,false
c458,26,month_to_month,0.096,40.20,false
c459,40,one_year,0.015,115.66,false
c460,20,two_year,0.160,45.09,false
c461,62,month_to_month,0.110,87.37,false
c462,49,month_to_month,0.320,109.26,false
c463,20,one_year,0.215,75.88,false
c464,53,two_year,0.169,42.04,false
c465,10,two_year,0.277,29.12,false
c466,65,month_to_month,0.257,79.66,true
c467,72,month_to_month,0.014,29.55,false
c468,39,month_to_month,0.206,59.14,true
c469,67,two_year,0.308,47.77,false
c470,23,month_to_month,0.079,33.01,false
c471,63,one_year,0.051,81.62,false
c472,17,two_year,0.232,117.41,true
c473,2,month_to_month,0.230,87.81,false
c474,34,month_to_month,0.252,81.79,false
c475,35,one_year,0.258,20.41,true
c476,26,one_year,0.236,61.82,true
c477,68,month_to_month,0.112,42.00,false
c478,40,one_year,0.155,114.06,false
c479,35,one_year,0.066,54.98,false
c480,68,month_to_month,0.099,48.57,false
c481,22,month_to_month,0.334,110.85,true
c482,17,one_year,0.321,66.08,false
c483,68,month_to_month,0.277,93.91,true
c484,41,month_to_month,0.018,103.31,false
c485,49,month_to_month,0.270,91.24,false
c486,4,month_to_month,0.155,96.14,false
c487,26,month_to_month,0.137,28.77,false
c488,15,month_to_month,0.163,85.34,true
c489,29,month_to_month,0.209,60.65,false
c490,70,month_to_month,0.070,69.18,false
c491,12,month_to_month,0.211,75.02,false
c492,55,one_year,0.303,111.30,false
c493,60,one_year,0.211,22.89,false
c494,26,one_year,0.012,39.76,false
c495,27,two_year,0.050,65.37,false
c496,35,two_year,0.102,52.90,false
c497,38,two_year,0.031,32.45,false
c498,11,month_to_month,0.048,112.14,false
c499,2,month_to_month,0.050,104.46,false
c500,18,month_to_month,0.113,88.35,true
